No;Provinsi Asal;Kasus;Kasus Hari ini;Sembuh;Sembuh Hari Ini;Kematian;Meninggal Hari Ini;RI;CFR
1;Aceh;36,953;64;30,538;267;1,815;23;82.6%;4.9%
2;Bali;111,499;99;105,649;229;3,849;9;94.8%;3.5%
3;Banten;130,908;33;127,193;409;2,658;2;97.2%;2.0%
4;Bangka Belitung;50,570;79;47,502;218;1,365;6;93.9%;2.7%
5;Bengkulu;22,966;10;22,439;17;465;0;97.7%;2.0%
6;DI Yogyakarta;154,014;83;145,922;360;5,139;9;94.7%;3.3%
7;DKI Jakarta;856,252;91;840,181;409;13,502;3;98.1%;1.6%
8;Jambi;29,335;17;27,883;132;757;4;95.1%;2.6%
9;Jawa Barat;700,767;116;681,723;452;14,540;10;97.3%;2.1%
10;Jawa Tengah;479,634;332;446,011;1,925;29,738;19;93.0%;6.2%
11;Jawa Timur;393,349;142;360,897;409;29,261;26;91.7%;7.4%
12;Kalimantan Barat;39,246;41;37,909;115;1,031;2;96.6%;2.6%
13;Kalimantan Timur;155,761;104;148,459;306;5,350;3;95.3%;3.4%
14;Kalimantan Tengah;44,779;34;41,719;237;1,351;2;93.2%;3.0%
15;Kalimantan Selatan;68,951;50;65,402;203;2,315;2;94.9%;3.4%
16;Kalimantan Utara;34,421;70;30,592;16;751;0;88.9%;2.2%
17;Kepulauan Riau;53,391;29;50,884;58;1,724;1;95.3%;3.2%
18;Nusa Tenggara Barat;27,149;12;26,013;42;785;1;95.8%;2.9%
19;Sumatera Selatan;59,341;24;55,639;86;3,019;5;93.8%;5.1%
20;Sumatera Barat;88,796;10;84,780;125;2,088;3;95.5%;2.4%
21;Sulawesi Utara;33,854;17;31,624;12;1,019;0;93.4%;3.0%
22;Sumatera Utara;103,404;123;97,170;298;2,772;12;94.0%;2.7%
23;Sulawesi Tenggara;19,973;3;18,902;28;518;0;94.6%;2.6%
24;Sulawesi Selatan;107,832;20;103,427;61;2,182;2;95.9%;2.0%
25;Sulawesi Tengah;45,572;54;42,560;181;1,530;3;93.4%;3.4%
26;Lampung;48,644;46;42,928;175;3,713;8;88.2%;7.6%
27;Riau;127,016;140;121,514;164;4,013;7;95.7%;3.2%
28;Maluku Utara;11,914;1;11,491;0;302;0;96.4%;2.5%
29;Maluku;14,441;2;13,955;0;257;0;96.6%;1.8%
30;Papua Barat;22,775;3;22,322;13;350;0;98.0%;1.5%
31;Papua;33,426;20;31,186;47;421;0;93.3%;1.3%
32;Sulawesi Barat;12,027;12;11,294;29;327;0;93.9%;2.7%
33;Nusa Tenggara Timur;62,122;49;59,581;108;1,276;4;95.9%;2.1%
34;Gorontalo;11,613;2;10,836;4;451;0;93.3%;3.9%
35;Dalam proses investigasi;0;0;;;;;;
;Total;4,192,695;1,932;3,996,125;7,135;140,634;166;95.3%;3.4%